Unnamed: 0;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
0;Quitinete;Copacabana;1;0;0;40;1700.0;500.0;60.0;42.5;Apartamento
1;Casa;Jardim Botânico;2;0;1;100;7000.0;0.0;0.0;70.0;Casa
2;Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;53.33;Apartamento
3;Apartamento;Higienópolis;1;0;0;48;800.0;230.0;0.0;16.67;Apartamento
5;Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0;26.0;Apartamento
6;Casa de Condomínio;Barra da Tijuca;5;4;5;750;22000.0;0.0;0.0;29.33;Casa
7;Casa de Condomínio;Ramos;2;2;0;65;1000.0;0.0;0.0;15.38;Casa
9;Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;21.43;Apartamento
10;Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;16.67;Apartamento
11;Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;50.0;Apartamento
12;Quitinete;Copacabana;1;0;0;27;1800.0;501.0;0.0;66.67;Apartamento
13;Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0;53.5;Apartamento
14;Casa de Condomínio;Taquara;3;1;1;115;2000.0;0.0;0.0;17.39;Casa
15;Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;17.59;Apartamento
16;Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;25.37;Apartamento
17;Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;17.27;Apartamento
18;Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500.0;2695.0;0.0;16.09;Casa
19;Apartamento;Olaria;3;1;0;68;1000.0;670.0;0.0;14.71;Apartamento
20;Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;25.64;Apartamento
21;Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;56.0;Apartamento
22;Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;15.62;Apartamento
23;Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;24.0;Apartamento
24;Casa;Campo Grande;4;1;2;400;12000.0;0.0;0.0;30.0;Casa
25;Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;32.89;Apartamento
26;Apartamento;Copacabana;3;1;2;378;10000.0;2150.0;700.0;26.46;Apartamento
27;Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;30.56;Apartamento
28;Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0;21.9;Apartamento
29;Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;35.45;Apartamento
30;Quitinete;Copacabana;1;0;0;27;1300.0;380.0;53.0;48.15;Apartamento
31;Apartamento;Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0;17.5;Apartamento
32;Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;25.71;Apartamento
33;Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0;20.49;Apartamento
34;Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;40.91;Apartamento
35;Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;0.0;33.33;Apartamento
36;Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0;26.0;Apartamento
37;Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;32.64;Apartamento
38;Apartamento;Humaitá;2;2;1;180;4000.0;2500.0;300.0;22.22;Apartamento
39;Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0;25.0;Apartamento
40;Apartamento;Centro;1;0;0;27;750.0;371.0;19.0;27.78;Apartamento
41;Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0;57.14;Apartamento
42;Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0;36.84;Apartamento
43;Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0;19.28;Apartamento
44;Casa de Condomínio;Barra da Tijuca;5;10;5;1600;25000.0;1600.0;0.0;15.62;Casa
45;Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;42.48;Apartamento
46;Apartamento;Península;4;3;4;267;18000.0;3100.0;400.0;67.42;Apartamento
47;Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;36.78;Apartamento
48;Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0;17.22;Apartamento
49;Apartamento;Vargem Pequena;3;1;0;53;1400.0;385.0;28.0;26.42;Apartamento
50;Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0;55.09;Apartamento
51;Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0;20.93;Apartamento
52;Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0;25.0;Apartamento
53;Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0;25.68;Apartamento
54;Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;0.0;53.33;Apartamento
55;Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0;56.43;Apartamento
56;Casa;Méier;2;0;0;51;1500.0;50.0;0.0;29.41;Casa
57;Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;0.0;42.11;Apartamento
59;Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0;16.67;Apartamento
60;Casa;São Conrado;4;2;4;730;28000.0;2000.0;12000.0;38.36;Casa
61;Casa de Condomínio;Freguesia (Jacarepaguá);5;3;1;140;2500.0;1200.0;0.0;17.86;Casa
62;Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;43.75;Apartamento
63;Apartamento;Barra da Tijuca;4;4;4;240;12700.0;4400.0;1440.0;52.92;Apartamento
64;Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;25.0;Apartamento
65;Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0;17.78;Apartamento
66;Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0;40.0;Apartamento
67;Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;30.68;Apartamento
68;Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0;29.73;Apartamento
69;Apartamento;Cosme Velho;3;4;0;130;5500.0;1407.0;246.0;42.31;Apartamento
70;Apartamento;Bonsucesso;2;1;0;77;1500.0;740.0;0.0;19.48;Apartamento
71;Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;29.41;Apartamento
72;Apartamento;Todos os Santos;3;1;1;78;1450.0;630.0;73.0;18.59;Apartamento
73;Apartamento;Laranjeiras;2;1;0;54;2300.0;582.0;0.0;42.59;Apartamento
74;Quitinete;Centro;0;0;0;30;800.0;505.0;0.0;26.67;Apartamento
75;Apartamento;Jacarepaguá;2;1;1;69;2000.0;780.0;0.0;28.99;Apartamento
76;Apartamento;Ipanema;3;1;1;120;7000.0;1800.0;370.0;58.33;Apartamento
77;Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0;35.26;Apartamento
78;Apartamento;Itanhangá;2;1;0;60;1000.0;450.0;150.0;16.67;Apartamento
79;Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0;26.67;Apartamento
80;Apartamento;Humaitá;2;1;0;86;4000.0;1259.0;188.0;46.51;Apartamento
81;Quitinete;Flamengo;0;0;0;28;1000.0;581.0;53.0;35.71;Apartamento
82;Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0;24.29;Apartamento
84;Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0;22.5;Apartamento
85;Casa de Vila;Piedade;2;1;0;70;1300.0;0.0;0.0;18.57;Casa
86;Apartamento;Tijuca;3;1;0;172;2700.0;780.0;170.0;15.7;Apartamento
87;Apartamento;Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0;10.73;Apartamento
88;Apartamento;Ipanema;3;1;1;145;8000.0;14768.0;4394.0;55.17;Apartamento
89;Apartamento;Olaria;2;1;0;53;1100.0;160.0;0.0;20.75;Apartamento
90;Quitinete;Copacabana;1;0;0;29;1200.0;460.0;0.0;41.38;Apartamento
91;Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0;33.73;Apartamento
92;Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0;53.75;Apartamento
93;Apartamento;Lagoa;3;1;2;250;13900.0;2500.0;0.0;55.6;Apartamento
94;Apartamento;Leblon;3;2;1;147;7500.0;1028.0;247.0;51.02;Apartamento
95;Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0;52.24;Apartamento
96;Apartamento;Ipanema;3;1;1;150;25000.0;1616.0;4255.0;166.67;Apartamento
97;Apartamento;Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0;34.09;Apartamento
98;Apartamento;Catete;2;0;0;77;2400.0;1130.0;140.0;31.17;Apartamento
99;Apartamento;Jardim Carioca;2;1;0;55;1350.0;430.0;47.0;24.55;Apartamento
100;Casa;Maracanã;8;3;5;259;7000.0;0.0;0.0;27.03;Casa
101;Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0;45.88;Apartamento
102;Apartamento;Catete;2;0;0;75;3350.0;455.0;0.0;44.67;Apartamento
103;Apartamento;Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0;13.33;Apartamento
104;Casa;Benfica;1;0;0;33;1200.0;0.0;0.0;36.36;Casa
105;Quitinete;Glória;1;0;0;16;1400.0;300.0;210.0;87.5;Apartamento
106;Apartamento;Praça Seca;2;0;0;80;900.0;350.0;0.0;11.25;Apartamento
107;Apartamento;Vila Isabel;1;0;0;37;1000.0;285.0;24.0;27.03;Apartamento
108;Apartamento;Copacabana;3;0;0;150;5500.0;1780.0;420.0;36.67;Apartamento
109;Apartamento;Lagoa;3;1;1;127;5000.0;1540.0;370.0;39.37;Apartamento
110;Apartamento;Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0;22.97;Apartamento
111;Apartamento;Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0;23.44;Apartamento
112;Apartamento;Gávea;3;1;1;160;8000.0;2000.0;0.0;50.0;Apartamento
113;Apartamento;Copacabana;3;1;1;200;6200.0;1800.0;420.0;31.0;Apartamento
114;Apartamento;Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0;25.86;Apartamento
115;Apartamento;Botafogo;3;1;1;100;5500.0;1300.0;220.0;55.0;Apartamento
116;Apartamento;Barra da Tijuca;4;2;3;320;5500.0;2700.0;800.0;17.19;Apartamento
118;Apartamento;Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0;13.33;Apartamento
119;Apartamento;Ipanema;2;0;2;52;10000.0;3689.0;393.0;192.31;Apartamento
120;Apartamento;Leblon;4;4;4;380;40000.0;4700.0;1500.0;105.26;Apartamento
121;Apartamento;Recreio dos Bandeirantes;3;2;1;104;2200.0;740.0;258.0;21.15;Apartamento
122;Apartamento;Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0;36.11;Apartamento
123;Apartamento;Taquara;2;1;0;75;1200.0;330.0;75.0;16.0;Apartamento
124;Apartamento;Botafogo;4;1;1;190;5500.0;1720.0;350.0;28.95;Apartamento
125;Quitinete;Catete;0;0;0;20;700.0;500.0;28.0;35.0;Apartamento
126;Apartamento;Ipanema;4;6;1;700;65000.0;8860.0;5699.0;92.86;Apartamento
127;Apartamento;Méier;2;0;0;56;899.0;402.0;135.0;16.05;Apartamento
128;Apartamento;Freguesia (Jacarepaguá);2;1;1;71;1200.0;600.0;54.0;16.9;Apartamento
129;Apartamento;Lagoa;3;1;2;105;3600.0;1100.0;281.0;34.29;Apartamento
130;Apartamento;Copacabana;3;1;1;500;15000.0;2580.0;366.0;30.0;Apartamento
131;Apartamento;Tijuca;3;0;0;87;1600.0;650.0;100.0;18.39;Apartamento
132;Apartamento;Botafogo;1;0;0;35;1500.0;470.0;50.0;42.86;Apartamento
134;Apartamento;Ipanema;3;3;1;220;22000.0;4000.0;1200.0;100.0;Apartamento
135;Apartamento;Copacabana;3;0;0;100;3300.0;850.0;90.0;33.0;Apartamento
136;Apartamento;Barra da Tijuca;3;1;2;93;2500.0;1100.0;0.0;26.88;Apartamento
137;Apartamento;Engenho Novo;2;2;0;78;800.0;915.0;55.0;10.26;Apartamento
138;Apartamento;Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0;29.41;Apartamento
139;Apartamento;Leblon;2;1;1;115;7500.0;980.0;270.0;65.22;Apartamento
140;Apartamento;Botafogo;2;1;1;70;3700.0;1133.0;147.0;52.86;Apartamento
141;Apartamento;Freguesia (Jacarepaguá);2;1;1;95;1600.0;650.0;0.0;16.84;Apartamento
142;Apartamento;Barra da Tijuca;4;4;4;392;30000.0;7000.0;3000.0;76.53;Apartamento
143;Apartamento;Campo Grande;2;0;0;60;1200.0;570.0;0.0;20.0;Apartamento
144;Apartamento;Flamengo;1;0;0;40;1900.0;430.0;54.0;47.5;Apartamento
145;Apartamento;Engenho de Dentro;3;1;1;61;1400.0;498.0;0.0;22.95;Apartamento
146;Apartamento;Copacabana;3;2;1;250;7000.0;1500.0;434.0;28.0;Apartamento
147;Apartamento;Ipanema;3;2;1;200;15000.0;1500.0;572.0;75.0;Apartamento
148;Apartamento;Copacabana;3;1;0;140;3700.0;1347.0;0.0;26.43;Apartamento
149;Apartamento;Copacabana;2;0;0;50;2500.0;750.0;760.0;50.0;Apartamento
150;Casa;Jardim Carioca;3;2;1;135;3000.0;0.0;0.0;22.22;Casa
151;Apartamento;Tijuca;3;1;1;78;2500.0;730.0;178.0;32.05;Apartamento
152;Quitinete;Centro;0;0;0;28;700.0;400.0;16.0;25.0;Apartamento
153;Apartamento;Lagoa;3;1;1;75;4000.0;1250.0;309.0;53.33;Apartamento
154;Apartamento;Recreio dos Bandeirantes;3;2;1;102;1850.0;882.0;0.0;18.14;Apartamento
155;Apartamento;Tijuca;1;0;0;65;1200.0;320.0;0.0;18.46;Apartamento
156;Apartamento;Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0;25.0;Apartamento
157;Apartamento;Copacabana;4;1;2;210;13000.0;2200.0;650.0;61.9;Apartamento
158;Apartamento;Maracanã;3;2;3;158;2400.0;1265.0;0.0;15.19;Apartamento
159;Apartamento;Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0;24.1;Apartamento
